session_date,ticker,entry_time,exit_time,entry_price,exit_price,exit_reason,pnl_percent
2026-06-10,005090,2026-06-10 09:31:42,2026-06-10 09:33:27,52800,52100,stop_loss,-1.3258
2026-06-10,085620,2026-06-10 09:35:03,2026-06-10 09:36:57,21750,21950,take_profit,0.9195
2026-06-10,181710,2026-06-10 09:35:07,2026-06-10 09:44:03,41300,40700,stop_loss,-1.4528
2026-06-10,008770,2026-06-10 09:35:05,2026-06-10 09:45:42,53900,53300,stop_loss,-1.1132
2026-06-10,085620,2026-06-10 09:44:03,2026-06-10 09:49:11,21550,21700,take_profit,0.6961
2026-06-10,028670,2026-06-10 09:33:28,2026-06-10 09:51:07,5110,5050,stop_loss,-1.1742
2026-06-10,009420,2026-06-10 09:49:13,2026-06-10 09:51:10,50400,49850,stop_loss,-1.0913
2026-06-10,008770,2026-06-10 09:51:08,2026-06-10 09:52:59,53700,53900,take_profit,0.3724
2026-06-10,181710,2026-06-10 09:45:44,2026-06-10 09:53:00,40650,40150,stop_loss,-1.23
2026-06-10,161390,2026-06-10 09:38:33,2026-06-10 09:54:54,71700,72000,take_profit,0.4184
2026-06-10,281820,2026-06-10 09:53:01,2026-06-10 09:54:56,66000,66400,take_profit,0.6061
2026-06-10,000430,2026-06-10 09:54:55,2026-06-10 09:56:46,5850,5900,take_profit,0.8547
2026-06-10,192080,2026-06-10 09:51:12,2026-06-10 09:58:37,72000,72600,take_profit,0.8333
2026-06-10,175330,2026-06-10 09:56:38,2026-06-10 09:58:39,25600,25700,take_profit,0.3906
2026-06-10,462870,2026-06-10 09:52:59,2026-06-10 10:00:31,30650,31100,take_profit,1.4682
2026-06-10,092200,2026-06-10 09:56:46,2026-06-10 10:00:35,9790,9870,take_profit,0.8172
2026-06-10,181710,2026-06-10 10:00:32,2026-06-10 10:04:20,40350,40550,take_profit,0.4957
2026-06-10,000430,2026-06-10 10:00:35,2026-06-10 10:04:23,5860,5750,stop_loss,-1.8771
2026-06-10,092200,2026-06-10 10:06:16,2026-06-10 10:12:19,9870,9760,stop_loss,-1.1145
2026-06-10,092200,2026-06-10 10:14:11,2026-06-10 10:17:55,9770,9830,take_profit,0.6141
2026-06-10,028670,2026-06-10 10:00:29,2026-06-10 10:27:28,5070,5010,stop_loss,-1.1834
2026-06-10,181710,2026-06-10 10:06:11,2026-06-10 10:29:23,40250,41100,take_profit,2.1118
2026-06-10,004990,2026-06-10 09:31:38,2026-06-10 10:33:16,25700,25800,take_profit,0.3891
2026-06-10,088350,2026-06-10 10:31:19,2026-06-10 10:33:23,4875,4890,take_profit,0.3077
2026-06-10,078930,2026-06-10 09:58:37,2026-06-10 10:35:17,73200,73700,take_profit,0.6831
2026-06-10,005090,2026-06-10 10:19:51,2026-06-10 10:35:26,52100,52600,take_profit,0.9597
2026-06-10,000430,2026-06-10 10:27:34,2026-06-10 10:35:27,5730,5790,take_profit,1.0471
2026-06-10,000430,2026-06-10 10:41:01,2026-06-10 10:44:55,5730,5640,stop_loss,-1.5707
2026-06-10,028670,2026-06-10 10:33:16,2026-06-10 10:48:46,5010,5030,take_profit,0.3992
2026-06-10,092200,2026-06-10 10:41:02,2026-06-10 10:48:52,9810,9710,stop_loss,-1.0194
2026-06-10,078930,2026-06-10 10:48:50,2026-06-10 10:50:55,73800,74100,take_profit,0.4065
2026-06-10,192080,2026-06-10 10:46:53,2026-06-10 10:55:05,71000,71300,take_profit,0.4225
2026-06-10,000430,2026-06-10 10:51:06,2026-06-10 10:57:03,5630,5690,take_profit,1.0657
2026-06-10,088350,2026-06-10 10:41:03,2026-06-10 11:03:19,4885,4835,stop_loss,-1.0235
2026-06-10,028670,2026-06-10 10:50:59,2026-06-10 11:18:22,5040,4975,stop_loss,-1.2897
2026-06-10,181710,2026-06-10 10:55:06,2026-06-10 11:20:45,40900,40400,stop_loss,-1.2225
2026-06-10,281820,2026-06-10 11:03:26,2026-06-10 11:24:55,67300,66000,stop_loss,-1.9316
2026-06-10,192080,2026-06-10 10:59:13,2026-06-10 11:29:09,71300,71600,take_profit,0.4208
2026-06-10,092200,2026-06-10 11:24:57,2026-06-10 11:30:23,9420,9460,take_profit,0.4246
2026-06-10,005090,2026-06-10 11:20:47,2026-06-10 11:45:32,51600,51900,take_profit,0.5814
2026-06-10,181710,2026-06-10 11:29:09,2026-06-10 11:49:46,40450,40600,take_profit,0.3708
2026-06-10,161390,2026-06-10 10:35:15,2026-06-10 11:51:41,71600,70900,force_exit_last_trace,-0.9777
2026-06-10,009420,2026-06-10 11:18:25,2026-06-10 11:51:41,50100,49750,force_exit_last_trace,-0.6986
2026-06-10,175330,2026-06-10 11:30:23,2026-06-10 11:51:44,25500,25450,force_exit_last_trace,-0.1961
2026-06-10,004990,2026-06-10 11:47:22,2026-06-10 11:51:38,25600,25600,force_exit_last_trace,0.0
2026-06-10,281820,2026-06-10 11:49:46,2026-06-10 11:51:43,66100,66500,force_exit_last_trace,0.6051
2026-06-11,120110,2026-06-11 09:32:14,2026-06-11 09:35:59,68400,68800,take_profit,0.5848
2026-06-11,323410,2026-06-11 09:32:10,2026-06-11 09:37:56,23350,23000,stop_loss,-1.4989
2026-06-11,085620,2026-06-11 09:32:12,2026-06-11 09:37:59,20750,20450,stop_loss,-1.4458
2026-06-11,000430,2026-06-11 09:32:19,2026-06-11 09:38:29,5490,5430,stop_loss,-1.0929
2026-06-11,120110,2026-06-11 09:38:29,2026-06-11 09:43:10,68600,69200,take_profit,0.8746
2026-06-11,279570,2026-06-11 09:33:35,2026-06-11 09:45:41,5800,5710,stop_loss,-1.5517
2026-06-11,000430,2026-06-11 09:45:45,2026-06-11 09:48:35,5250,5140,stop_loss,-2.0952
2026-06-11,092200,2026-06-11 09:38:30,2026-06-11 09:51:16,9280,9350,take_profit,0.7543
