trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-10,2026-06-10T09:31:37,BUY-2026-06-10-028670-20260610T093137,028670,BUY,38,5140,195320,29.298,0.0,29.298,backtest_replay,,,,,,,38,195320,5140.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:31:38,BUY-2026-06-10-004990-20260610T093138,004990,BUY,7,25700,179900,26.985,0.0,26.985,backtest_replay,,,,,,,7,179900,25700.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:31:39,BUY-2026-06-10-081660-20260610T093139,081660,BUY,4,40200,160800,24.12,0.0,24.12,backtest_replay,,,,,,,4,160800,40200.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:00:30,SELL-2026-06-10-081660-20260610T100030,081660,SELL,4,40350,161400,24.21,290.52,314.72999999999996,backtest_replay,,,,,,,4,160800,40200.0,4,161400,600.0,261.15,0.3731,0.1624,CLOSED
2026-06-10,2026-06-10T10:00:32,BUY-2026-06-10-181710-20260610T100032,181710,BUY,4,40350,161400,24.21,0.0,24.21,backtest_replay,,,,,,,4,161400,40350.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:04:20,SELL-2026-06-10-181710-20260610T100420,181710,SELL,4,40550,162200,24.33,291.96,316.28999999999996,backtest_replay,,,,,,,4,161400,40350.0,4,162200,800.0,459.5,0.4957,0.2847,CLOSED
2026-06-10,2026-06-10T10:04:24,BUY-2026-06-10-000430-20260610T100424,000430,BUY,34,5750,195500,29.325,0.0,29.325,backtest_replay,,,,,,,34,195500,5750.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:23:43,SELL-2026-06-10-000430-20260610T102343,000430,SELL,34,5790,196860,29.529,354.348,383.877,backtest_replay,,,,,,,34,195500,5750.0,34,196860,1360.0,946.798,0.6957,0.4843,CLOSED
2026-06-10,2026-06-10T10:25:26,BUY-2026-06-10-005090-20260610T102526,005090,BUY,3,52100,156300,23.445,0.0,23.445,backtest_replay,,,,,,,3,156300,52100.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:33:13,SELL-2026-06-10-004990-20260610T103313,004990,SELL,7,25800,180600,27.09,325.08,352.16999999999996,backtest_replay,,,,,,,7,179900,25700.0,7,180600,700.0,320.845,0.3891,0.1783,CLOSED
2026-06-10,2026-06-10T10:33:21,BUY-2026-06-10-000430-20260610T103321,000430,BUY,35,5720,200200,30.03,0.0,30.03,backtest_replay,,,,,,,69,395700,5734.7826,34,196860,1877.3913,1434.1593,0.9629,0.7355,OPEN
2026-06-10,2026-06-10T10:35:24,SELL-2026-06-10-005090-20260610T103524,005090,SELL,3,52600,157800,23.67,284.04,307.71000000000004,backtest_replay,,,,,,,3,156300,52100.0,3,157800,1500.0,1168.845,0.9597,0.7478,CLOSED
2026-06-10,2026-06-10T10:35:28,SELL-2026-06-10-000430-20260610T103528,000430,SELL,35,5790,202650,30.3975,364.77,395.16749999999996,backtest_replay,,,,,,,69,395700,5734.7826,69,399510,3810.0,2971.6005,0.9629,0.7510,CLOSED
2026-06-10,2026-06-10T10:41:01,BUY-2026-06-10-000430-20260610T104101,000430,BUY,34,5730,194820,29.223,0.0,29.223,backtest_replay,,,,,,,103,590520,5733.2039,69,399510,3918.932,3051.3095,0.9907,0.7713,OPEN
2026-06-10,2026-06-10T10:41:03,BUY-2026-06-10-088350-20260610T104103,088350,BUY,41,4885,200285,30.0427,0.0,30.0427,backtest_replay,,,,,,,41,200285,4885.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T11:51:38,SELL-2026-06-10-028670-20260610T115138,028670,SELL,38,5080,193040,28.956,347.472,376.428,backtest_replay,,,,,,,38,195320,5140.0,38,193040,-2280.0,-2685.726,-1.1673,-1.3750,CLOSED
2026-06-10,2026-06-10T11:51:39,SELL-2026-06-10-000430-20260610T115139,000430,SELL,34,5590,190060,28.509,342.108,370.617,backtest_replay,,,,,,,103,590520,5733.2039,103,589570,-950.0,-2188.2395,-0.1609,-0.3706,CLOSED
2026-06-10,2026-06-10T11:51:45,SELL-2026-06-10-088350-20260610T115145,088350,SELL,41,4815,197415,29.6122,355.347,384.9592,backtest_replay,,,,,,,41,200285,4885.0,41,197415,-2870.0,-3285.0019,-1.4330,-1.6402,CLOSED
2026-06-11,2026-06-11T09:32:10,BUY-2026-06-11-323410-20260611T093210,323410,BUY,7,23350,163450,24.5175,0.0,24.5175,backtest_replay,,,,,,,7,163450,23350.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T09:32:12,BUY-2026-06-11-120110-20260611T093212,120110,BUY,2,68400,136800,20.52,0.0,20.52,backtest_replay,,,,,,,2,136800,68400.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T09:32:14,BUY-2026-06-11-279570-20260611T093214,279570,BUY,31,5780,179180,26.877,0.0,26.877,backtest_replay,,,,,,,31,179180,5780.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T09:33:36,SELL-2026-06-11-279570-20260611T093336,279570,SELL,31,5800,179800,26.97,323.64,350.61,backtest_replay,,,,,,,31,179180,5780.0,31,179800,620.0,242.513,0.3460,0.1353,CLOSED
2026-06-11,2026-06-11T09:35:23,BUY-2026-06-11-012750-20260611T093523,012750,BUY,2,72400,144800,21.72,0.0,21.72,backtest_replay,,,,,,,2,144800,72400.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T09:35:57,SELL-2026-06-11-120110-20260611T093557,120110,SELL,2,68800,137600,20.64,247.68,268.32,backtest_replay,,,,,,,2,136800,68400.0,2,137600,800.0,511.16,0.5848,0.3737,CLOSED
2026-06-11,2026-06-11T09:36:00,BUY-2026-06-11-000430-20260611T093600,000430,BUY,33,5440,179520,26.928,0.0,26.928,backtest_replay,,,,,,,33,179520,5440.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T12:07:53,SELL-2026-06-11-012750-20260611T120753,012750,SELL,2,72900,145800,21.87,262.44,284.31,backtest_replay,,,,,,,2,144800,72400.0,2,145800,1000.0,693.97,0.6906,0.4793,CLOSED
2026-06-11,2026-06-11T14:59:55,SELL-2026-06-11-000430-20260611T145955,000430,SELL,33,4975,164175,24.6262,295.515,320.14119999999997,backtest_replay,,,,,,,33,179520,5440.0,33,164175,-15345.0,-15692.0692,-8.5478,-8.7411,CLOSED
2026-06-11,2026-06-11T14:59:55,SELL-2026-06-11-323410-20260611T145955,323410,SELL,7,23100,161700,24.255,291.06,315.315,backtest_replay,,,,,,,7,163450,23350.0,7,161700,-1750.0,-2089.8325,-1.0707,-1.2786,CLOSED
2026-06-12,2026-06-12T09:33:08,BUY-2026-06-12-081660-20260612T093308,081660,BUY,5,43200,216000,32.4,0.0,32.4,backtest_replay,,,,,,,5,216000,43200.0,0,0,,,,,OPEN
2026-06-12,2026-06-12T09:33:14,BUY-2026-06-12-285130-20260612T093314,285130,BUY,5,43800,219000,32.85,0.0,32.85,backtest_replay,,,,,,,5,219000,43800.0,0,0,,,,,OPEN
2026-06-12,2026-06-12T09:33:18,BUY-2026-06-12-001800-20260612T093318,001800,BUY,8,26650,213200,31.98,0.0,31.98,backtest_replay,,,,,,,8,213200,26650.0,0,0,,,,,OPEN
2026-06-12,2026-06-12T09:33:19,BUY-2026-06-12-298050-20260612T093319,298050,BUY,1,202000,202000,30.3,0.0,30.3,backtest_replay,,,,,,,1,202000,202000.0,0,0,,,,,OPEN
2026-06-12,2026-06-12T09:52:28,SELL-2026-06-12-001800-20260612T095228,001800,SELL,8,26800,214400,32.16,385.92,418.08000000000004,backtest_replay,,,,,,,8,213200,26650.0,8,214400,1200.0,749.94,0.5629,0.3518,CLOSED
2026-06-12,2026-06-12T09:53:38,BUY-2026-06-12-001800-20260612T095338,001800,BUY,8,26650,213200,31.98,0.0,31.98,backtest_replay,,,,,,,16,426400,26650.0,8,214400,1200.0,717.96,0.5629,0.3368,OPEN
2026-06-12,2026-06-12T10:02:19,SELL-2026-06-12-081660-20260612T100219,081660,SELL,5,43400,217000,32.55,390.6,423.15000000000003,backtest_replay,,,,,,,5,216000,43200.0,5,217000,1000.0,544.45,0.4630,0.2521,CLOSED
2026-06-12,2026-06-12T10:03:33,BUY-2026-06-12-192080-20260612T100333,192080,BUY,3,72300,216900,32.535,0.0,32.535,backtest_replay,,,,,,,3,216900,72300.0,0,0,,,,,OPEN
