session_date,ticker,entry_time,exit_time,entry_price,exit_price,exit_reason,pnl_percent
2026-06-10,005090,2026-06-10 09:31:42,2026-06-10 09:49:18,52800,51000,stop_loss,-3.4091
2026-06-10,000430,2026-06-10 09:49:19,2026-06-10 09:51:12,5890,5920,take_profit,0.5093
2026-06-10,192080,2026-06-10 09:51:12,2026-06-10 09:58:37,72000,72600,take_profit,0.8333
2026-06-10,081660,2026-06-10 09:31:39,2026-06-10 10:00:30,40200,40350,take_profit,0.3731
2026-06-10,181710,2026-06-10 10:00:32,2026-06-10 10:04:20,40350,40550,take_profit,0.4957
2026-06-10,000430,2026-06-10 10:04:23,2026-06-10 10:23:44,5750,5790,take_profit,0.6957
2026-06-10,004990,2026-06-10 09:31:38,2026-06-10 10:33:16,25700,25800,take_profit,0.3891
2026-06-10,078930,2026-06-10 09:58:37,2026-06-10 10:35:17,73200,73700,take_profit,0.6831
2026-06-10,005090,2026-06-10 10:25:30,2026-06-10 10:35:26,52100,52600,take_profit,0.9597
2026-06-10,028670,2026-06-10 10:33:16,2026-06-10 10:48:46,5010,5030,take_profit,0.3992
2026-06-10,078930,2026-06-10 10:48:50,2026-06-10 10:50:55,73800,74100,take_profit,0.4065
2026-06-10,092200,2026-06-10 10:41:02,2026-06-10 11:07:44,9810,9490,stop_loss,-3.262
2026-06-10,000430,2026-06-10 10:41:01,2026-06-10 11:26:50,5730,5550,stop_loss,-3.1414
2026-06-10,028670,2026-06-10 10:50:59,2026-06-10 11:30:17,5040,5070,take_profit,0.5952
2026-06-10,088350,2026-06-10 11:26:52,2026-06-10 11:34:39,4830,4845,take_profit,0.3106
2026-06-10,181710,2026-06-10 11:30:18,2026-06-10 11:49:46,40450,40600,take_profit,0.3708
2026-06-10,066575,2026-06-10 11:09:37,2026-06-10 11:51:40,78600,79000,take_profit,0.5089
2026-06-10,175330,2026-06-10 11:34:39,2026-06-10 11:51:44,25500,25450,force_exit_last_trace,-0.1961
2026-06-10,281820,2026-06-10 11:49:46,2026-06-10 11:51:43,66100,66500,force_exit_last_trace,0.6051
2026-06-10,000370,2026-06-10 11:51:40,2026-06-10 11:51:40,6440,6440,force_exit_last_trace,0.0
2026-06-11,120110,2026-06-11 09:32:14,2026-06-11 09:35:59,68400,68800,take_profit,0.5848
2026-06-11,085620,2026-06-11 09:32:12,2026-06-11 09:45:39,20750,20100,stop_loss,-3.1325
2026-06-11,000430,2026-06-11 09:35:59,2026-06-11 09:45:45,5440,5250,stop_loss,-3.4926
2026-06-11,000430,2026-06-11 09:46:17,2026-06-11 09:53:48,5220,5050,stop_loss,-3.2567
2026-06-11,000430,2026-06-11 09:54:22,2026-06-11 09:57:11,5030,5070,take_profit,0.7952
2026-06-11,181710,2026-06-11 09:45:43,2026-06-11 10:05:25,39550,39750,take_profit,0.5057
2026-06-11,016380,2026-06-11 10:05:27,2026-06-11 10:08:09,5570,5590,take_profit,0.3591
2026-06-11,005090,2026-06-11 10:08:09,2026-06-11 10:10:44,50400,50700,take_profit,0.5952
2026-06-11,180640,2026-06-11 10:11:14,2026-06-11 10:28:19,112600,113200,take_profit,0.5329
2026-06-11,092200,2026-06-11 09:57:11,2026-06-11 10:49:14,9300,9360,take_profit,0.6452
2026-06-11,005090,2026-06-11 10:49:14,2026-06-11 10:55:12,50100,50400,take_profit,0.5988
2026-06-11,181710,2026-06-11 10:28:24,2026-06-11 11:33:57,39650,38400,stop_loss,-3.1526
2026-06-11,016380,2026-06-11 11:34:46,2026-06-11 11:51:51,5640,5660,take_profit,0.3546
2026-06-11,499790,2026-06-11 11:51:51,2026-06-11 12:04:35,49600,49900,take_profit,0.6048
2026-06-11,005090,2026-06-11 10:55:54,2026-06-11 12:07:57,50200,50400,take_profit,0.3984
2026-06-11,181710,2026-06-11 12:04:35,2026-06-11 12:40:26,38350,38550,take_profit,0.5215
2026-06-11,217590,2026-06-11 12:07:57,2026-06-11 12:51:51,23200,23300,take_profit,0.431
2026-06-11,181710,2026-06-11 12:52:24,2026-06-11 12:58:18,38800,39000,take_profit,0.5155
2026-06-11,000430,2026-06-11 12:58:22,2026-06-11 13:01:42,5000,5020,take_profit,0.4
2026-06-11,005090,2026-06-11 12:40:28,2026-06-11 13:05:16,50600,51300,take_profit,1.3834
2026-06-11,217590,2026-06-11 13:03:39,2026-06-11 13:13:58,22800,22900,take_profit,0.4386
2026-06-11,016380,2026-06-11 13:14:17,2026-06-11 13:42:40,5720,5740,take_profit,0.3497
2026-06-11,000430,2026-06-11 13:43:00,2026-06-11 13:53:25,5020,5040,take_profit,0.3984
