trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-25,2026-06-25T09:54:01,BUY-2026-06-25-000500-20260625T095401,000500,BUY,1,305000,305000,45.75,0.0,45.75,backtest_replay,,,,,,,1,305000,305000.0,0,0,,,,,OPEN
2026-06-25,2026-06-25T10:02:58,SELL-2026-06-25-000500-20260625T100258,000500,SELL,1,306500,306500,45.975,551.7,597.6750000000001,backtest_replay,,,,,,,1,305000,305000.0,1,306500,1500.0,856.575,0.4918,0.2808,CLOSED
2026-06-25,2026-06-25T10:03:18,BUY-2026-06-25-204320-20260625T100318,204320,BUY,7,49750,348250,52.2375,0.0,52.2375,backtest_replay,,,,,,,7,348250,49750.0,0,0,,,,,OPEN
2026-06-25,2026-06-25T10:33:25,SELL-2026-06-25-204320-20260625T103325,204320,SELL,7,49900,349300,52.395,628.74,681.135,backtest_replay,,,,,,,7,348250,49750.0,7,349300,1050.0,316.6275,0.3015,0.0909,CLOSED
2026-06-25,2026-06-25T10:34:32,BUY-2026-06-25-010120-20260625T103432,010120,BUY,1,221500,221500,33.225,0.0,33.225,backtest_replay,,,,,,,1,221500,221500.0,0,0,,,,,OPEN
2026-06-25,2026-06-25T10:37:12,SELL-2026-06-25-010120-20260625T103712,010120,SELL,1,222500,222500,33.375,400.5,433.875,backtest_replay,,,,,,,1,221500,221500.0,1,222500,1000.0,532.9,0.4515,0.2406,CLOSED
2026-06-25,2026-06-25T10:37:13,BUY-2026-06-25-005490-20260625T103713,005490,BUY,1,326000,326000,48.9,0.0,48.9,backtest_replay,,,,,,,1,326000,326000.0,0,0,,,,,OPEN
2026-06-25,2026-06-25T10:38:35,SELL-2026-06-25-005490-20260625T103835,005490,SELL,1,327000,327000,49.05,588.6,637.65,backtest_replay,,,,,,,1,326000,326000.0,1,327000,1000.0,313.45,0.3067,0.0962,CLOSED
2026-06-25,2026-06-25T10:38:42,BUY-2026-06-25-009830-20260625T103842,009830,BUY,11,33700,370700,55.605,0.0,55.605,backtest_replay,,,,,,,11,370700,33700.0,0,0,,,,,OPEN
2026-06-25,2026-06-25T10:42:00,SELL-2026-06-25-009830-20260625T104200,009830,SELL,11,33650,370150,55.5225,666.27,721.7925,backtest_replay,,,,,,,11,370700,33700.0,11,370150,-550.0,-1327.3975,-0.1484,-0.3581,CLOSED
